"sha256","dup_count","action","keep_path","keep_rel_path","file_path","rel_path","top_dir","file_name","size","keep_score","reason_flags"
"B2458FBEC839F970F504EEC3B33417989B86BC885F8EB979310E22CDF476919B","3","KEEP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\J11B.0745.B.815.940","VJMsg\J11B.0745.B.815.940","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\J11B.0745.B.815.940","VJMsg\J11B.0745.B.815.940","VJMsg","J11B.0745.B.815.940","9045","25",""
"B2458FBEC839F970F504EEC3B33417989B86BC885F8EB979310E22CDF476919B","3","ARCHIVE_DUP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\J11B.0745.B.815.940","VJMsg\J11B.0745.B.815.940","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\J11B.0745.B.815.940","J11B直管\J11B.0745.B.815.940","J11B直管","J11B.0745.B.815.940","9045","26",""
"B2458FBEC839F970F504EEC3B33417989B86BC885F8EB979310E22CDF476919B","3","ARCHIVE_DUP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\J11B.0745.B.815.940","VJMsg\J11B.0745.B.815.940","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\J11B钢管\0745QK\J11B.0745.B.815.940","VJMsg\J11B钢管\0745QK\J11B.0745.B.815.940","VJMsg","J11B.0745.B.815.940","9045","39",""
"5DCE96C8053520103F5B3C2C8F48A728FFB5A9EFFB72C1014ED8F727A4484CB5","2","KEEP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\J11B.0745.B.815.941","VJMsg\J11B.0745.B.815.941","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\J11B.0745.B.815.941","VJMsg\J11B.0745.B.815.941","VJMsg","J11B.0745.B.815.941","9045","25",""
"5DCE96C8053520103F5B3C2C8F48A728FFB5A9EFFB72C1014ED8F727A4484CB5","2","ARCHIVE_DUP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\J11B.0745.B.815.941","VJMsg\J11B.0745.B.815.941","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\J11B.0745.B.815.941","J11B直管\J11B.0745.B.815.941","J11B直管","J11B.0745.B.815.941","9045","26",""
"8AE728385B79D919329D2D7EFEA049FF84EA5BA83E019E93E604C2DCF1FBD37A","3","KEEP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\J11B.6101.B.810.933","VJMsg\J11B.6101.B.810.933","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\J11B.6101.B.810.933","VJMsg\J11B.6101.B.810.933","VJMsg","J11B.6101.B.810.933","9045","25",""
"8AE728385B79D919329D2D7EFEA049FF84EA5BA83E019E93E604C2DCF1FBD37A","3","ARCHIVE_DUP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\J11B.6101.B.810.933","VJMsg\J11B.6101.B.810.933","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\J11B.6101.B.810.933","J11B直管\J11B.6101.B.810.933","J11B直管","J11B.6101.B.810.933","9045","26",""
"8AE728385B79D919329D2D7EFEA049FF84EA5BA83E019E93E604C2DCF1FBD37A","3","ARCHIVE_DUP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\J11B.6101.B.810.933","VJMsg\J11B.6101.B.810.933","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\7402.B\J11B.6101.B\J11B.6101.B.810.933","VJMsg\7402.B\J11B.6101.B\J11B.6101.B.810.933","VJMsg","J11B.6101.B.810.933","9045","44",""
"21001215F02BF4D272D6EF9379F886BA796E01C0B88797C816DC8FA317F8F9CB","3","KEEP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\J11B.6101.B.810.935","VJMsg\J11B.6101.B.810.935","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\J11B.6101.B.810.935","VJMsg\J11B.6101.B.810.935","VJMsg","J11B.6101.B.810.935","9045","25",""
"21001215F02BF4D272D6EF9379F886BA796E01C0B88797C816DC8FA317F8F9CB","3","ARCHIVE_DUP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\J11B.6101.B.810.935","VJMsg\J11B.6101.B.810.935","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\J11B.6101.B.810.935","J11B直管\J11B.6101.B.810.935","J11B直管","J11B.6101.B.810.935","9045","26",""
