"file_name","file_count","unique_hash_count","same_content_all","sample_paths"
"3","54","27","NO","J11B直管\J11BS.0740.A\3 | VJMsg\30 11\30 11.5314\045\3 | VJMsg\30 11\30 11.5314\050\3"
"5","51","28","NO","J11B直管\J11BS.0740.A\新建文件夹\5 | VJMsg\30 11\30 11.5314\035\5 | VJMsg\30 11\30 11.5314\050\5"
"4","43","17","NO","J11B直管\J11BS.0740.A\4 | VJMsg\30 11\30 11.5314\045\4 | VJMsg\30 11\30 11.5314\050\4"
"2","43","24","NO","J11B直管\J11BS.0740.A\2 | VJMsg\30 11\30 11.5314\045\2 | VJMsg\30 11\30 11.5314\050\2"
"9","42","18","NO","J11B直管\J11BS.0740.A\9 | VJMsg\30 11\30 11.5314\035\9 | VJMsg\30 11\30 11.5314\600\9"
"21","42","21","NO","J11B直管\J11BS.0740.A\21 | VJMsg\30 11\30 11.5314\045\21 | VJMsg\30 11\30 11.5314\050\21"
"22","41","24","NO","J11B直管\J11BS.0740.A\新建文件夹\22 | J11B直管\J11BS.5314  5324\22 | VJMsg\22"
"6","41","21","NO","J11B直管\J11BS.0740.A\6 | VJMsg\30 11\30 11.5314\035\6 | VJMsg\30 11\30 11.5314\300\6"
"61","41","19","NO","J11B直管\J11BS.0740.A\61 | VJMsg\30 11\30 11.5314\035\61 | VJMsg\30 11\30 11.5314\210\61"
"12","40","16","NO","J11B直管\J11BS.0740.A\12 | VJMsg\30 11\30 11.5314\045\12 | VJMsg\30 11\30 11.5314\050\12"
"7","39","18","NO","J11B直管\J11BS.0740.A\7 | VJMsg\30 11\30 11.5314\045\7 | VJMsg\30 11\30 11.5314\600\7"
"19","39","22","NO","J11B直管\J11BS.0740.A\新建文件夹 (2)\19 | VJMsg\30 11\30 11.5314\035\19 | VJMsg\30 11\30 11.5314\050\19"
"11","39","18","NO","VJMsg\30 11\30 11.5314\050\11 | VJMsg\30 11\30 11.5314\815\11 | VJMsg\30 11\30 11.5324\600\11"
"66","35","17","NO","VJMsg\30 11\30 11.5314\045\66 | VJMsg\30 11\30 11.5314\210\66 | VJMsg\30 11\30 11.5314\330\66"
"13","34","20","NO","VJMsg\30 11\30 11.5314\050\13 | VJMsg\30 11\30 11.5314\300\13 | VJMsg\30 11\30 11.5314\325\13"
"60","33","14","NO","VJMsg\30 11\30 11.5314\035\60 | VJMsg\30 11\30 11.5314\325\60 | VJMsg\30 11\30 11.5314\720\60"
"57","33","13","NO","J11B直管\J11BS.0740.A\新建文件夹\57 | VJMsg\30 11\30 11.5314\045\57 | VJMsg\30 11\30 11.5314\410\57"
"28","33","18","NO","VJMsg\30 11\30 11.5314\045\28 | VJMsg\30 11\30 11.5314\215\28 | VJMsg\30 11\30 11.5314\325\28"
"58","32","13","NO","VJMsg\30 11\30 11.5314\210\58 | VJMsg\30 11\30 11.5314\330\58 | VJMsg\30 11\30 11.5314\815\58"
"20","32","14","NO","J11B直管\J11BS.0740.A\新建文件夹\20 | VJMsg\30 11\30 11.5314\050\20 | VJMsg\30 11\30 11.5314\300\20"
"55","31","11","NO","J11B直管\J11BS.0740.A\新建文件夹\55 | VJMsg\30 11\30 11.5314\045\55 | VJMsg\30 11\30 11.5324\210\55"
"68","31","14","NO","VJMsg\30 11\30 11.5314\045\68 | VJMsg\30 11\30 11.5314\210\68 | VJMsg\30 11\30 11.5314\330\68"
"15","31","16","NO","VJMsg\30 11\30 11.5314\045\15 | VJMsg\30 11\30 11.5314\050\15 | VJMsg\30 11\30 11.5314\300\15"
"14","30","17","NO","J11B直管\J11BS.0740.A\新建文件夹\14 | VJMsg\30 11\30 11.5314\045\14 | VJMsg\30 11\30 11.5314\050\14"
"27","30","16","NO","J11B直管\J11BS.0740.A\27 | VJMsg\30 11\30 11.5314\215\27 | VJMsg\30 11\30 11.5314\300\27"
"37","29","16","NO","J11B直管\J11BS.0740.A\37 | VJMsg\30 11\30 11.5314\035\37 | VJMsg\30 11\30 11.5314\215\37"
"63","28","15","NO","J11B直管\J11BS.0740.A\63 | VJMsg\30 11\30 11.5314\045\63 | VJMsg\30 11\30 11.5314\210\63"
"25","28","16","NO","J11B直管\J11BS.0740.A\新建文件夹 (2)\25 | J11B直管\J11BS.5314  5324\25 | VJMsg\30 11\30 11.5314\215\25"
"35","27","20","NO","J11B直管\J11BS.0740.A\新建文件夹 (2)\35 | VJMsg\30 11\30 11.5314\035\35 | VJMsg\30 11\30 11.5314\045\35"
"18","27","14","NO","J11B直管\J11BS.0740.A\新建文件夹\18 | VJMsg\30 11\30 11.5314\045\18 | VJMsg\30 11\30 11.5314\300\18"
"69","27","12","NO","J11B直管\J11BS.0740.A\69 | VJMsg\30 11\30 11.5314\035\69 | VJMsg\30 11\30 11.5314\045\69"
"70","26","11","NO","VJMsg\30 11\30 11.5314\210\70 | VJMsg\30 11\30 11.5314\330\70 | VJMsg\30 11\30 11.5314\815\70"
"65","26","12","NO","J11B直管\J11BS.0740.A\65 | VJMsg\30 11\30 11.5314\330\65 | VJMsg\30 11\30 11.5314\815\65"
"56","26","10","NO","VJMsg\30 11\30 11.5314\330\56 | VJMsg\30 11\30 11.5324\900\56 | VJMsg\J11B钢管\5314.B.035\035\220\56"
"8","25","14","NO","J11B直管\J11BS.0740.A\8 | VJMsg\30 11\30 11.5314\045\8 | VJMsg\J11BS.7420.A\J11BS.0740.A\8"
"72","25","11","NO","VJMsg\30 11\30 11.5314\035\72 | VJMsg\30 11\30 11.5324\210\72 | VJMsg\30 11\30 11.5324\325\72"
"1","25","18","NO","J11B直管\J11BS.0740.A\1 | VJMsg\30 11\30 11.5314\045\1 | VJMsg\30 11\30 11.5314\050\1"
"41","24","11","NO","J11B直管\J11BS.0740.A\41 | VJMsg\30 11\30 11.5314\045\41 | VJMsg\30 11\30 11.5314\210\41"
"64","23","14","NO","VJMsg\30 11\30 11.5314\035\64 | VJMsg\30 11\30 11.5314\210\64 | VJMsg\30 11\30 11.5314\815\64"
"29","23","15","NO","J11B直管\J11BS.0740.A\29 | VJMsg\30 11\30 11.5314\035\29 | VJMsg\30 11\30 11.5314\045\29"
"43","23","11","NO","J11B直管\J11BS.0740.A\43 | VJMsg\30 11\30 11.5314\045\43 | VJMsg\30 11\30 11.5314\215\43"
"36","22","16","NO","VJMsg\30 11\30 11.5314\035\36 | VJMsg\30 11\30 11.5314\045\36 | VJMsg\30 11\30 11.5314\215\36"
"38","22","11","NO","VJMsg\30 11\30 11.5314\035\38 | VJMsg\30 11\30 11.5314\045\38 | VJMsg\30 11\30 11.5314\215\38"
"53","22","12","NO","J11B直管\J11BS.0740.A\53 | VJMsg\30 11\30 11.5314\300\53 | VJMsg\30 11\30 11.5314\815\53"
"73","21","11","NO","J11B直管\J11BS.0740.A\73 | VJMsg\30 11\30 11.5314\035\73 | VJMsg\30 11\30 11.5314\045\73"
"31","21","14","NO","J11B直管\J11BS.0740.A\31 | VJMsg\30 11\30 11.5314\215\31 | VJMsg\30 11\30 11.5314\300\31"
"23","21","14","NO","J11B直管\J11BS.0740.A\23 | VJMsg\30 11\30 11.5314\045\23 | VJMsg\30 11\30 11.5314\050\23"
"44","21","9","NO","VJMsg\30 11\30 11.5314\215\44 | VJMsg\30 11\30 11.5314\300\44 | VJMsg\30 11\30 11.5324\045\44"
"30","21","15","NO","VJMsg\30 11\30 11.5314\035\30 | VJMsg\30 11\30 11.5314\045\30 | VJMsg\30 11\30 11.5314\300\30"
"34","21","11","NO","VJMsg\30 11\30 11.5314\035\34 | VJMsg\30 11\30 11.5314\215\34 | VJMsg\30 11\30 11.5314\300\34"
"62","20","9","NO","VJMsg\30 11\30 11.5314\210\62 | VJMsg\30 11\30 11.5314\815\62 | VJMsg\30 11\30 11.5324\900\62"
"24","20","9","NO","VJMsg\30 11\30 11.5314\300\24 | VJMsg\30 11\30 11.5314\600\24 | VJMsg\30 11\30 11.5314\710\24"
"33","20","11","NO","J11B直管\J11BS.0740.A\33 | VJMsg\30 11\30 11.5314\215\33 | VJMsg\30 11\30 11.5324\045\33"
"75","20","8","NO","J11B直管\J11BS.0740.A\75 | VJMsg\30 11\30 11.5314\210\75 | VJMsg\30 11\30 11.5324\210\75"
