"idx","full_path","rel_path","top_dir","parent_rel","file_name","stem","ext","size","mtime_utc","sha256","reason_flags","keep_score"
"1","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\J11B.0745.B.815.940","J11B直管\J11B.0745.B.815.940","J11B直管","J11B直管","J11B.0745.B.815.940","J11B.0745.B.815",".940","9045","2021-02-18T02:10:16.0000000Z","B2458FBEC839F970F504EEC3B33417989B86BC885F8EB979310E22CDF476919B","","26"
"2","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\J11B.0745.B.815.941","J11B直管\J11B.0745.B.815.941","J11B直管","J11B直管","J11B.0745.B.815.941","J11B.0745.B.815",".941","9045","2021-02-18T02:10:50.0000000Z","5DCE96C8053520103F5B3C2C8F48A728FFB5A9EFFB72C1014ED8F727A4484CB5","","26"
"3","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\J11B.6101.B.810.933","J11B直管\J11B.6101.B.810.933","J11B直管","J11B直管","J11B.6101.B.810.933","J11B.6101.B.810",".933","9045","2019-08-20T08:11:58.0000000Z","8AE728385B79D919329D2D7EFEA049FF84EA5BA83E019E93E604C2DCF1FBD37A","","26"
"4","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\J11B.6101.B.810.935","J11B直管\J11B.6101.B.810.935","J11B直管","J11B直管","J11B.6101.B.810.935","J11B.6101.B.810",".935","9045","2017-02-13T07:44:52.0000000Z","21001215F02BF4D272D6EF9379F886BA796E01C0B88797C816DC8FA317F8F9CB","","26"
"5","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\J11B.6101.B.810.937","J11B直管\J11B.6101.B.810.937","J11B直管","J11B直管","J11B.6101.B.810.937","J11B.6101.B.810",".937","9045","2017-02-13T07:52:58.0000000Z","123AA1436E89082A43D5940CD309D43466ABB2EE60308E36078FFE44DC93EE92","","26"
"6","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\J11B.6125.B.065.945","J11B直管\J11B.6125.B.065.945","J11B直管","J11B直管","J11B.6125.B.065.945","J11B.6125.B.065",".945","9045","2023-02-01T05:24:38.0000000Z","7FC9E4C49DE6407EE898EA00692C19727654BB81C466289F87332E5205B218F0","","26"
"7","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\J11B.6126.B.050.910","J11B直管\J11B.6126.B.050.910","J11B直管","J11B直管","J11B.6126.B.050.910","J11B.6126.B.050",".910","9045","2017-02-13T07:18:38.0000000Z","C0EA4E32EFD7796DF1C76566D536DF5CB6DA8E2D1AA4E194A85DB88E82B96C90","","26"
"8","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\J11B.7698.B.035.000","J11B直管\J11B.7698.B.035.000","J11B直管","J11B直管","J11B.7698.B.035.000","J11B.7698.B.035",".000","9045","2023-04-10T09:57:00.0000000Z","5F994ED5A79F04A1773DB71503037FFE2688635FC108CE9D280F3E65C7DB2163","","26"
"9","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\J11BS.0745.A.005.912","J11B直管\J11BS.0745.A.005.912","J11B直管","J11B直管","J11BS.0745.A.005.912","J11BS.0745.A.005",".912","9045","2021-02-01T10:27:52.0000000Z","90FA82DA4187D1BFBE249608DE657CB37DD05A773290FA185D5047585E75D325","","27"
"10","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\J11BS.0745.A.005.914","J11B直管\J11BS.0745.A.005.914","J11B直管","J11B直管","J11BS.0745.A.005.914","J11BS.0745.A.005",".914","9045","2021-02-01T10:27:24.0000000Z","472DFFFC97CF8524D4AC44757EF986E1C64584FB1C2E7165B37B5C3A571C9FA6","","27"
